Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,165.899994,169.000000,148.259995,149.009995,149.009995,30526500
2018-04-04,140.000000,148.929993,135.509995,144.220001,144.220001,11702900
2018-04-05,149.229996,152.410004,141.250000,143.990005,143.990005,7372800
2018-04-06,146.070007,148.729996,144.669998,147.919998,147.919998,4228100
2018-04-09,149.500000,151.000000,148.589996,150.000000,150.000000,2051400
2018-04-10,152.000000,156.740005,151.132996,154.899994,154.899994,2980000
2018-04-11,154.000000,154.149994,147.500000,149.570007,149.570007,1874000
2018-04-12,150.250000,151.000000,148.649994,149.100006,149.100006,1371900
2018-04-13,149.800003,150.419998,148.050003,149.000000,149.000000,1608100
2018-04-16,150.000000,150.000000,142.740005,144.320007,144.320007,1454700
2018-04-17,146.020004,149.839996,146.000000,148.490005,148.490005,1743100
2018-04-18,149.940002,155.990005,149.559998,154.910004,154.910004,2235300
2018-04-19,154.399994,155.029999,152.009995,153.470001,153.470001,1056900
2018-04-20,152.350006,159.000000,151.229996,158.449997,158.449997,2339000
2018-04-23,159.399994,160.679993,154.606003,158.039993,158.039993,2436500
2018-04-24,159.000000,159.259995,153.520004,155.070007,155.070007,1180400
2018-04-25,153.949997,154.600006,150.059006,153.330002,153.330002,1884600
2018-04-26,153.000000,157.800003,151.320007,156.600006,156.600006,1277200
2018-04-27,157.369995,160.000000,157.000000,159.979996,159.979996,1737800
2018-04-30,161.509995,162.880005,159.699997,161.669998,161.669998,3638400
2018-05-01,162.119995,165.169998,161.210007,164.880005,164.880005,2963900
2018-05-02,166.520004,171.229996,166.000000,170.000000,170.000000,6942800
2018-05-03,154.121002,161.110001,151.110001,160.380005,160.380005,11094800
2018-05-04,161.110001,161.110001,152.559998,154.259995,154.259995,4292600
2018-05-07,154.500000,154.710007,148.061005,150.000000,150.000000,5623700
2018-05-08,151.020004,154.649994,150.259995,150.639999,150.639999,2460300
2018-05-09,150.520004,150.970001,148.490005,150.070007,150.070007,1857400
2018-05-10,151.399994,159.949997,150.350006,158.130005,158.130005,3606600
2018-05-11,158.000000,158.240005,155.279999,156.770004,156.770004,1601300
2018-05-14,159.479996,164.949997,156.770004,159.970001,159.970001,4753300
2018-05-15,156.750000,160.990005,155.324005,158.710007,158.710007,2976200
2018-05-16,158.160004,163.000000,158.080002,161.389999,161.389999,2077800
2018-05-17,159.169998,159.479996,156.750000,158.759995,158.759995,2470900
2018-05-18,160.000000,160.050003,150.779999,150.800003,150.800003,4152400
2018-05-21,153.360001,153.740005,149.979996,150.220001,150.220001,1948700
2018-05-22,150.630005,153.389999,150.050003,150.429993,150.429993,1194400
2018-05-23,150.429993,154.559998,150.000000,154.369995,154.369995,1199500
2018-05-24,154.320007,156.865005,153.339996,154.589996,154.589996,1083300
2018-05-25,155.710007,157.750000,154.699997,156.600006,156.600006,1288500
2018-05-29,156.100006,156.559998,152.630005,154.619995,154.619995,1314300
2018-05-30,156.600006,156.929993,153.710007,156.380005,156.380005,1085500
2018-05-31,156.820007,158.845001,155.149994,157.710007,157.710007,1446800
2018-06-01,158.899994,161.809998,157.350006,159.240005,159.240005,1952400
2018-06-04,159.539993,162.970001,158.100006,162.830002,162.830002,2016900
2018-06-05,162.500000,165.059998,161.229996,164.960007,164.960007,1694400
2018-06-06,164.089996,165.639999,159.205002,165.639999,165.639999,2264400
2018-06-07,168.750000,168.750000,164.662994,166.029999,166.029999,2207400
