"STATION","NAME","DATE","TAVG"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-07","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-08","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-09","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-10","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-11","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-12","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-13","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-14","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-15","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-16","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-17","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-18","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-19","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-20","74"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-21","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-22","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-23","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-24","82"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-25","84"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-26","86"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-27","85"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-28","83"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-29","79"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-06-30","77"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-01","74"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-02","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-03","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-04","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-05","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-06","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-07","74"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-08","79"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-09","79"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-10","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-11","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-12","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-13","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-14","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-15","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-16","78"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-17","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-18","76"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-19","83"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-20","79"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-21","86"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-22","82"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-23","75"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-24","72"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-25","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-26","71"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-27","70"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-28","73"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-07-29","78"
